,0
687,0.001277808
703,0.000551273
803,0.000551273
857,0.000551273
917,0.001276106
1091,0.000933037
1180,0.000551273
56,0.000118128
66,0.000118128
112,0.000118128
648,0.000253327
1073,0.000118128
1139,0.000118128
64,2.73E-73
322,3.34E-73
605,1.47E-73
762,1.47E-73
400,0.000465633
1020,0.000465633
90,2.02E-73
107,2.02E-73
247,2.02E-73
398,2.02E-73
425,2.02E-73
646,2.02E-73
702,2.02E-73
818,2.02E-73
831,2.02E-73
840,2.02E-73
888,2.02E-73
911,2.02E-73
971,2.02E-73
1015,2.02E-73
1041,2.02E-73
1146,2.02E-73
1218,2.02E-73
1001,0.00017195
422,8.47E-06
21,6.99E-05
268,3.66E-05
430,6.99E-05
584,3.66E-05
589,3.66E-05
667,0.000110935
716,6.99E-05
751,6.99E-05
838,3.66E-05
841,3.66E-05
853,7.84E-05
976,6.99E-05
993,0.000178568
1223,6.99E-05
197,0.000243801
827,0.000187486
71,2.05E-183
113,2.05E-183
271,2.05E-183
328,2.05E-183
481,2.05E-183
614,2.05E-183
624,2.05E-183
632,2.05E-183
665,2.05E-183
671,2.05E-183
705,2.05E-183
757,2.05E-183
816,2.05E-183
826,2.05E-183
828,2.05E-183
843,2.05E-183
864,2.05E-183
954,2.05E-183
985,2.05E-183
1008,2.05E-183
1028,2.05E-183
1080,2.05E-183
1101,2.05E-183
1110,2.05E-183
1164,2.05E-183
127,0.00040216
782,0.00040216
110,0.000439328
119,0.000439328
238,0.000439328
420,0.000439328
616,0.000439328
656,0.000439328
673,0.000439328
839,0.000439328
990,0.000439328
619,3.41E-05
781,0.000396217
104,0.000373578
121,0.000373578
484,0.000724833
505,0.000373578
1212,0.000373578
675,0.000539389
474,8.47E-06
246,4.10E-05
295,4.10E-05
418,4.10E-05
537,4.10E-05
732,4.10E-05
877,4.10E-05
898,4.10E-05
1066,4.10E-05
480,8.47E-06
192,6.30E-217
230,6.30E-217
316,6.30E-217
353,6.30E-217
764,6.30E-217
784,6.30E-217
817,6.30E-217
873,6.30E-217
928,6.30E-217
941,6.30E-217
1148,6.30E-217
1203,6.30E-217
1207,6.30E-217
884,3.46E-05
373,0.000516096
508,0.000516096
833,0.000516096
987,0.000516096
67,1.71E-73
77,1.71E-73
704,1.71E-73
893,1.71E-73
1014,1.71E-73
1055,1.71E-73
1177,1.71E-73
1181,1.71E-73
87,5.22E-07
138,5.22E-07
908,7.5045198859e-313
1120,7.5045198859e-313
94,3.41E-05
234,9.00E-236
236,9.00E-236
330,9.00E-236
464,9.00E-236
607,9.00E-236
679,9.00E-236
720,9.00E-236
854,9.00E-236
901,9.00E-236
472,1.07E-06
935,1.07E-06
46,0.000369377
744,0.000369377
977,0.000369377
133,0.000726535
395,0.000726535
953,0.000726535
1143,0.000439695
595,3.10E-05
75,6.13E-07
100,6.13E-07
149,6.13E-07
291,6.13E-07
308,0.00050078
643,6.13E-07
693,6.13E-07
942,6.13E-07
989,6.13E-07
1011,6.13E-07
1141,6.13E-07
332,0.000376378
984,0.000376378
32,0.000380104
451,0.000380104
1016,0.000744395
892,0.000510258
1038,0.000510258
638,8.47E-06
89,4.06E-05
233,8.11E-05
248,4.06E-05
620,8.11E-05
729,4.06E-05
807,4.06E-05
1065,4.06E-05
1067,4.06E-05
1135,4.06E-05
1160,4.06E-05
1191,0.000364292
645,8.47E-06
132,3.33E-05
427,3.33E-05
455,3.33E-05
548,3.33E-05
573,3.33E-05
655,3.33E-05
837,3.33E-05
906,3.33E-05
1002,3.33E-05
1061,3.33E-05
1063,3.33E-05
1105,3.33E-05
1169,3.33E-05
61,4.06E-73
170,1.99E-73
604,1.99E-73
813,1.99E-73
890,0.000255671
76,1.26E-73
148,1.26E-73
182,1.26E-73
201,1.26E-73
208,1.26E-73
280,1.26E-73
282,1.26E-73
313,1.26E-73
323,1.26E-73
407,1.26E-73
715,1.26E-73
824,1.26E-73
883,1.26E-73
910,1.26E-73
1000,1.26E-73
1077,1.26E-73
1219,1.26E-73
136,3.93E-05
241,3.93E-05
274,3.93E-05
493,3.93E-05
522,3.93E-05
628,3.93E-05
691,3.93E-05
832,3.93E-05
834,3.93E-05
1030,3.93E-05
1103,3.93E-05
86,0.000874729
572,0.000874729
731,0.000491296
1088,0.000874729
1079,6.06E-73
739,0.000560489
213,0.000383538
264,9.14E-07
286,9.14E-07
664,2.73E-06
772,4.18E-05
108,3.43E-05
147,3.43E-05
159,3.43E-05
184,3.43E-05
235,3.43E-05
302,6.76E-05
310,3.43E-05
339,3.43E-05
340,3.43E-05
345,3.43E-05
355,6.76E-05
414,3.43E-05
446,3.43E-05
482,6.76E-05
526,3.43E-05
626,3.43E-05
694,3.43E-05
768,3.43E-05
806,3.43E-05
880,6.76E-05
889,3.43E-05
894,3.43E-05
903,6.76E-05
932,3.43E-05
940,3.43E-05
957,3.43E-05
961,6.76E-05
998,3.43E-05
1012,3.43E-05
1125,3.43E-05
1172,6.76E-05
1187,3.43E-05
1198,3.43E-05
1210,3.43E-05
51,0
802,8.47E-06
26,3.34E-05
60,3.34E-05
93,3.34E-05
122,3.34E-05
204,3.34E-05
423,3.34E-05
514,3.34E-05
524,3.34E-05
603,3.34E-05
668,3.34E-05
710,3.34E-05
967,3.34E-05
1085,3.34E-05
1127,3.34E-05
1128,3.34E-05
12,0.000447082
37,0.000447082
198,0.000447082
491,0.000447082
495,0.000447082
534,0.000447082
661,0.000447082
676,0.000447082
1205,0.000447082
229,3.11E-73
377,4.31E-73
408,3.11E-73
555,4.31E-73
697,4.31E-73
769,4.31E-73
899,4.31E-73
925,3.11E-73
934,0.000386508
1129,0.000386508
158,4.44E-73
567,1.09E-73
583,1.09E-73
830,8.47E-06
244,4.05E-05
728,4.05E-05
823,4.05E-05
947,4.05E-05
1044,4.05E-05
1178,4.05E-05
260,0.000555117
532,0.000555117
1108,0.000555117
20,2.07E-73
181,2.07E-73
992,2.07E-73
821,1.20E-05
1036,1.20E-05
54,3.33E-05
256,3.33E-05
461,3.33E-05
608,3.33E-05
773,3.33E-05
786,3.33E-05
913,3.33E-05
986,3.33E-05
1208,3.33E-05
369,0.001377949
571,0.000577219
1186,0.000989702
141,0.000388247
712,0.000388247
734,0.000388247
965,0.000388247
1142,0.000388247
1157,0.000388247
33,1.19E-73
327,1.19E-73
752,1.19E-73
983,1.19E-73
780,0.000452457
588,0.000153182
865,0.000434294
1040,0.000434294
1124,0.000434294
914,0.000560489
924,8.47E-06
343,4.01E-05
245,0.000443359
349,0.000443359
600,0.000443359
805,0.000443359
862,0.000443359
1217,0.000443359
740,0.000383432
1215,0.000383432
944,0.000560489
125,0.000398504
16,3.12E-05
35,3.12E-05
49,3.12E-05
65,3.12E-05
82,3.12E-05
128,3.12E-05
